title,handle,type,price_min,price_max,carats,sizes,num_images,in_stock,url,tags
Angel's Eye Lab Grown Diamond  Solitaire Engagement Ring in 18k White Gold,angels-eye-lab-grown-diamond-engagement-ring-in-18k-white-gold,lab ring,1500.0,2600.0,1.0ct; 2.0ct,5#; 5.5#; 6#; 6.5#; 7#; 7.5#; 8#,5,True,https://www.beneicedo.com/products/angels-eye-lab-grown-diamond-engagement-ring-in-18k-white-gold,Lab Grown Diamond Solitaire Engagemnt Ring; Round
Classic Six-Prong Solitaire Lab Grown Diamond Engagement Ring,classic-six-prong-solitaire-lab-grown-diamond-engagement-ring,lab ring,1200.0,1200.0,1.0ct,5#; 5.5#; 6#; 6.5#; 7#; 7.5#; 8#,3,True,https://www.beneicedo.com/products/classic-six-prong-solitaire-lab-grown-diamond-engagement-ring,Lab Grown Diamond Solitaire Engagemnt Ring; Round; Solitaire
Three Stone Vine-Twist Lab Grown Diamond Engagement Ring,three-stone-vine-twist-lab-grown-diamond-engagement-ring,lab ring,1600.0,1600.0,1.0ct,5#; 5.5#; 6#; 6.5#; 7#; 7.5#; 8#,4,True,https://www.beneicedo.com/products/three-stone-vine-twist-lab-grown-diamond-engagement-ring,Lab Grown Diamond Solitaire Engagemnt Ring; Round; Three Stone
Luxe Four-Prong Solitaire Engagement Ring in 18k White Gold,moissanite-solitaire-engagement-ring-copy-1,lab ring,1300.0,2300.0,1.0ct; 2.0ct,5#; 5.5#; 6#; 6.5#; 7#; 7.5#; 8#,5,True,https://www.beneicedo.com/products/moissanite-solitaire-engagement-ring-copy-1,Lab Grown Diamond Solitaire Engagemnt Ring; Round; Solitaire
Four-Prong Moissanite Engagement Ring,moissanite-solitaire-engagement-rings-3,moissanite ring,89.99,109.99,1.0ct; 1.5ct; 2.0ct,5#; 5.5#; 6#; 6.5#; 7#; 7.5#; 8#,6,True,https://www.beneicedo.com/products/moissanite-solitaire-engagement-rings-3,Moissanite Engagement Ring; Round; Solitaire
Six-Prong  Moissanite Engagement Ring,moissanite-solitaire-engagement-rings-2,moissanite ring,79.99,79.99,1.0ct,5#; 5.5#; 6#; 6.5#; 7#; 7.5#; 8#,4,True,https://www.beneicedo.com/products/moissanite-solitaire-engagement-rings-2,Moissanite Engagement Ring; Round; Solitaire
Three-Stone Moissanite Engagement Ring,moissanite-three-stones-engagement-rings,moissanite ring,89.99,89.99,1.0ct,5#; 5.5#; 6#; 6.5#; 7#; 7.5#; 8#,5,True,https://www.beneicedo.com/products/moissanite-three-stones-engagement-rings,Moissanite Engagement Ring; Round; Three Stone
Sunflower Cluster Vine-Twisted Moissanite Engagement Ring,moissanite-solitaire-engagement-rings-copy,moissanite ring,89.99,89.99,1.0ct,5.5#; 6#; 6.5#; 7#; 7.5#,5,True,https://www.beneicedo.com/products/moissanite-solitaire-engagement-rings-copy,Moissanite Engagement Ring; Round
Four-Prong  Wave Band Moissanite Ring,m,moissanite ring,89.99,109.99,1.0ct; 2.0ct,5#; 5.5#; 6#; 6.5#; 7#; 7.5#; 8#,5,True,https://www.beneicedo.com/products/m,Moissanite Engagement Ring; Round; Solitaire
Six-Prong  Moissanite Engagement Ring,moissanite-solitaire-engagement-rings-1,moissanite ring,79.99,109.99,0.5ct; 1.0ct; 1.5ct; 2.0ct,5#; 5.5#; 6#; 6.5#; 7#; 7.5#; 8#,8,True,https://www.beneicedo.com/products/moissanite-solitaire-engagement-rings-1,Moissanite Engagement Ring; Round; Solitaire
